Chromosome	Origin	Start	End	ACS	Strand	Class	Timing	
chrVII	ARS702	64279	64528	64458	-	6	ND	
chrVII	ARS706	117471	117955	117676	-	6	Late	
chrVII	ARS707	163180	163447	163242	+	6	ND	
chrVII	ARS709	187241	187651	187407	+	6	Late	
chrVII	ARS710	203917	204159	203978	+	6	Early	
chrVII	ARS712	240972	241441	241201	+	6	Late	
chrVII	ARS714	285951	286246	286010	+	1	Early	
chrVII	ARS716	352695	352917	352866	-	5	ND	
chrVII	ARS717	388658	388892	388849	-	6	Early	
chrVII	ARS718	421093	421342	421285	-	6	Early	
chrVII	ARS719	484932	485160	485115	-	3	Early	
chrVII	ARS720	508729	508978	508911	-	6	Early	
chrVII	ARS726	653611	654091	653836	-	4	Late	
chrVII	ARS727	659809	660054	660004	-	1	ND	
chrVII	ARS728	715273	715556	715319	+	1	Early	
chrVII	ARS731	834492	834736	834669	-	2	Early	
chrVII	ARS731.5	888350	888599	888418	+	1	Early	
chrVII	ARS733	977730	977979	977910	-	1	ND	
chrVII	ARS734	999448	999695	999473	+	3	ND	
chrVII	ARS735	1002182	1002571	1002393	+	6	Late	
chrVII	ARS735.5	1063254	1063715	1063520	+	3	Late	
chrVII	ARS131a	1082959	1084336	1083677	+	1	Late	
chrVIII	ARS802	7534	7782	7754	-	6	Late	
chrVIII	ARS804	45589	46076	45778	-	6	ND	
chrVIII	ARS805	64255	64489	64301	+	2	Early	
chrVIII	ARS809	168531	168773	168599	+	6	ND	
chrVIII	ARS813	245719	245968	245791	+	1	ND	
chrVIII	ARS815	296882	297475	297102	+	3	Early	
chrVIII	ARS816	359469	359928	359698	-	6	ND	
chrVIII	ARS818	392148	392391	392250	-	1	ND	
chrVIII	ARS820	447619	447853	447794	-	4	Early	
chrVIII	ARS822	501751	501992	501949	-	6	ND	
chrVIII	ARS823	520016	520630	520379	-	6	Late	
chrVIII	ARS823.5	535403	535836	535621	-	5	Late	
chrVIII	ARS824	555996	556327	556152	+	5	Late	
chrX	ARS1002	7444	7943	7724	-	5	Late	
chrX	ARS1003	16123	16762	16474	+	6	Late	
chrX	ARS1004	23661	24158	23928	+	6	Late	
chrX	ARS1005	67467	67949	67713	-	1	ND	
chrX	ARS1006	99359	99796	99507	+	1	Early	
chrX	ARS1007	113226	113828	113736	-	5	Late	
chrX	ARS1007.5	161435	161860	161448	+	5	ND	
chrX	ARS1009	228248	228740	228567	-	6	Early	
chrX	ARS1009.5	248600	249300	248881	-	6	Late	
chrX	ARS1010	298471	298952	298838	+	6	Late	
chrX	ARS1011	336976	337225	337270	+	2	Late	
chrX	ARS1012	374575	374818	374861	+	2	ND	
chrX	ARS1013	375401	375923	375801	-	6	Early	
chrX	ARS1014	416888	417134	417311	-	5	Early	
chrX	ARS1015	442248	442658	442416	-	3	Early	
chrX	ARS1016	454276	455248	455082	-	1	Late	
chrX	ARS1018.5	609000	609750	609658	-	6	Late	
chrX	ARS1019	612542	612975	612993	-	5	Early	
chrX	ARS1020	654069	654309	654465	-	6	ND	
chrX	ARS1021	683328	683817	683928	+	4	Early	
chrX	ARS1022	711590	711837	711883	+	6	Late	
chrX	ARS1023	729677	730208	730035	+	6	Late	
chrX	ARS1024	736728	736970	737125	-	6	Late	
chrXI	ARS1103	55670	55917	55867	-	5	Early	
chrXI	ARS1104.5	98329	98568	98390	+	2	ND	
chrXI	ARS1106	152934	153173	153125	-	1	ND	
chrXI	ARS1106.3	196038	196284	196215	-	1	Late	
chrXI	ARS1106.7	213080	213385	213310	-	5	ND	
chrXI	ARS1107	257390	257839	257590	+	5	ND	
chrXI	ARS1109	329322	329571	329502	-	5	Early	
chrXI	ARS1112	388607	388902	388668	+	5	ND	
chrXI	ARS1113	416822	417055	416884	+	5	ND	
chrXI	ARS1114	447657	447892	447841	-	4	Early	
chrXI	ARS1114.5	454453	459197	457168	-	6	Early	
chrXI	ARS1118	581468	581706	581539	+	3	ND	
chrXI	ARS1120	611874	612107	612053	-	4	ND	
chrXI	ARS1123	642355	642602	642422	+	5	Late	
chrXII	ARS1203	51860	52210	52108	-	6	Late	
chrXII	ARS1209	156646	156883	156701	+	3	Early	
chrXII	ARS1211	231179	231422	231251	+	1	Early	
chrXII	ARS1211.5	243527	243960	243743	+	1	Late	
chrXII	ARS1212	289220	289469	289421	-	4	Late	
chrXII	ARS1213	373156	373400	373328	-	1	Early	
chrXII	ARS1215	412668	412897	412853	-	2	Early	
chrXII	ARS1217	512868	513117	513085	-	1	Early	
chrXII	ARS1218	602938	603155	603111	-	3	ND	
chrXII	ARS1219	622672	623123	622861	+	6	ND	
chrXII	ARS1220	659823	660072	659895	+	1	Early	
chrXII	ARS1222	730275	730832	730540	+	1	ND	
chrXII	ARS1223	744942	745179	745117	-	1	Early	
chrXII	ARS1226	794020	794269	794192	-	5	ND	
chrXII	ARS1227	821907	822336	822105	+	6	Late	
chrXII	ARS1227.5	888569	888810	888740	-	1	Late	
chrXII	ARS1229	928051	928540	928301	+	5	Late	
chrXII	ARS1232	1007180	1007470	1007238	+	1	ND	
chrXII	ARS1233	1013789	1014017	1013787	+	4	Late	
chrXII	ARS1234	1023967	1024207	1024153	-	1	Late	
chrXII	ARS1235	1059486	1059919	1059702	-	6	Late	
chrXIII	ARS1303	31687	31935	31767	+	1	Early	
chrXIII	ARS1304	39922	40355	40132	-	6	Late	
chrXIII	ARS1305	94216	94463	94390	-	1	ND	
chrXIII	ARS1307	137299	137548	137322	+	2	Early	
chrXIII	ARS1307.5	158846	159279	159062	+	1	Late	
chrXIII	ARS1309	263062	263296	263127	+	2	Early	
chrXIII	ARS1310	286782	287067	286846	+	6	Early	
chrXIII	ARS1312	370976	371221	371020	+	4	Early	
chrXIII	ARS1315	432851	433347	433030	+	1	ND	
chrXIII	ARS1316	468177	468468	468237	+	6	ND	
chrXIII	ARS1319	503346	504087	503627	-	6	ND	
chrXIII	ARS1320	535595	535843	535769	-	1	Early	
chrXIII	ARS1322	554392	554750	554598	-	6	ND	
chrXIII	ARS1323	611273	611488	611318	+	6	ND	
chrXIII	ARS1324	634479	634714	634521	+	6	ND	
chrXIII	ARS1325	649307	649551	649362	+	2	Early	
chrXIII	ARS1326	688766	689221	688918	+	1	Late	
chrXIII	ARS1327	758222	758470	758416	-	2	ND	
chrXIII	ARS1328	772629	772878	772677	+	1	Late	
chrXIII	ARS1329	805116	805338	805162	+	2	Late	
chrXIII	ARS1330	815341	815567	815391	+	1	Early	
chrXIII	ARS1331.5	865288	865683	865471	+	5	Late	
chrXIII	ARS1331.7	878619	879115	878735	+	6	ND	
chrXIII	ARS1332	897804	898040	897975	-	1	Early	
chrXIV	ARS1405	28467	28699	28653	-	5	Late	
chrXIV	ARS1406	61597	61894	61696	+	5	ND	
chrXIV	ARS1407	89528	89802	89756	-	4	ND	
chrXIV	ARS1410	126488	126981	126679	-	6	Late	
chrXIV	ARS1411	169566	169804	169749	-	6	Late	
chrXIV	ARS1412	196055	196291	196226	-	2	Late	
chrXIV	ARS1413	250259	250506	250465	-	1	Late	
chrXIV	ARS1414	279875	280108	280067	-	3	ND	
chrXIV	ARS1415	321917	322210	322006	+	3	Early	
chrXIV	ARS1417	412263	412493	412443	-	3	ND	
chrXIV	ARS1419	449343	449588	449538	-	6	ND	
chrXIV	ARS1420	498987	499232	499042	+	4	ND	
chrXIV	ARS1421	545966	546201	546150	-	4	ND	
chrXIV	ARS1424	609458	609706	609538	+	1	Early	
chrXIV	ARS1426	635660	635901	635835	-	1	Early	
chrXIV	ARS1427	691482	691727	691682	-	6	ND	
chrXIV	ARS1428.5	738550	738982	738730	+	1	Late	
chrXIV	ARS1429	764001	764500	764337	-	5	Late	
chrXV	ARS1506.5	35667	35903	35714	+	2	Early	
chrXV	ARS1507	72636	72872	72689	+	6	ND	
chrXV	ARS1508	85195	85444	85360	-	1	ND	
chrXV	ARS1509	113843	114084	113910	+	6	Early	
chrXV	ARS1509.5	154972	155462	155258	-	5	Late	
chrXV	ARS1510	166974	167220	167004	+	2	Early	
chrXV	ARS1511	277529	277778	277733	-	1	Early	
chrXV	ARS1512	308969	309462	309249	-	1	Early	
chrXV	ARS1513	337279	337528	337484	-	1	Early	
chrXV	ARS1513.5	436732	436966	436793	+	3	Early	
chrXV	ARS1514	489645	490129	490062	-	5	Early	
chrXV	ARS1515.7	520541	521040	520953	-	1	Late	
chrXV	ARS1516	566409	566643	566598	-	1	ND	
chrXV	ARS1519	656632	656876	656703	+	1	Late	
chrXV	ARS1520	681112	681611	681350	-	5	Late	
chrXV	ARS1521	729739	729969	729797	+	6	Late	
chrXV	ARS1523	766617	766862	766691	+	1	ND	
chrXV	ARS1524	783344	783563	783388	+	5	Late	
chrXV	ARS1526	874190	874434	874369	-	1	ND	
chrXV	ARS1528	908288	908537	908311	+	1	Early	
chrXV	ARS1529.5	1053490	1053901	1053697	+	1	Early	
chrXVI	ARS1601	6778	8439	7171	-	5	Late	
chrXVI	ARS1604	42976	43212	43150	-	1	ND	
chrXVI	ARS1605	73038	73283	73105	+	2	Early	
chrXVI	ARS1607	116505	116765	116594	+	5	ND	
chrXVI	ARS1614	289483	289704	289531	+	3	Early	
chrXVI	ARS1617	331678	332074	331771	+	6	Late	
chrXVI	ARS1618	384536	384784	384595	+	1	ND	
chrXVI	ARS1619	418132	418359	418181	+	2	Early	
chrXVI	ARS1620.5	456557	456805	456760	-	1	ND	
chrXVI	ARS1621	511619	511940	511707	+	1	Early	
chrXVI	ARS1622	563822	564061	563880	+	1	Late	
chrXVI	ARS1622.5	565046	565289	565118	+	2	Early	
chrXVI	ARS1622.7	584037	584486	584397	-	5	ND	
chrXVI	ARS1623	633868	634117	633924	+	2	Early	
chrXVI	ARS1624	684383	684632	684408	+	6	ND	
chrXVI	ARS1625	695432	695681	695620	-	2	Late	
chrXVI	ARS1626	749094	749341	749120	+	6	Late	
chrXVI	ARS1626.5	776921	777152	777096	-	2	Early	
chrXVI	ARS1627	819153	819393	819324	-	6	ND	
chrXVI	ARS1628	842646	842894	842852	-	3	Early	
chrXVI	ARS1630	880854	881102	880921	+	6	ND	
chrXVI	ARS1631	932976	933223	933166	-	6	Late	
